title,authors,author_corresponding,author_corresponding_institution,doi,date,version,type,license,category,jatsxml,abstract,funder,published,server,_source,_server,_query_hash,_query_label
Temporal asymmetries and interactions between dorsal and ventral visual pathways during object recognition,"Ayzenberg, V.; Simmons, C.; Behrmann, M.",Vladislav Ayzenberg,Carnegie Mellon University,10.1101/2022.09.17.508376,2022-12-27,3,new results,cc_by_nc_nd,neuroscience,https://www.biorxiv.org/content/early/2022/12/27/2022.09.17.508376.source.xml,"Despite their anatomical and functional distinctions, there is growing evidence that the dorsal and ventral visual pathways interact to support object recognition. However, the exact nature of these interactions remains poorly understood. Is the presence of identity-relevant object information in the dorsal pathway simply a byproduct of ventral input? Or, might the dorsal pathway be a source of input to the ventral pathway for object recognition? In the current study, we used high-density EEG - a technique with high temporal precision and spatial resolution sufficient to distinguish parietal and temporal lobes - to characterize the dynamics of dorsal and ventral pathways during object viewing. Using multivariate analyses, we found that category decoding in the dorsal pathway preceded that in the ventral pathway. Importantly, the dorsal pathway predicted the multivariate responses of the ventral pathway in a time-dependent manner, rather than the other way around. Together, these findings suggest that the dorsal pathway is a critical source of input to the ventral pathway for object recognition.",NA,10.1093/texcom/tgad003,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
A legacy role for DNA binding of Lon protects against genotoxic stress,"Zeinert, R. D.; Ogdahl, J.; Liu, J.; Yang, Q.; Du, Y.; Barros, B. B.; Freddolino, P. L.; Haynes, C.; Chien, P.",Peter  Chien,UMass Amherst,10.1101/317677,2022-12-27,2,new results,cc_by_nc_nd,microbiology,https://www.biorxiv.org/content/early/2022/12/27/317677.source.xml,"DNA binding proteins are essential for cellular life, but persistently bound complexes have toxic consequences. Here we show that the proteotoxic responsive bacterial protease Lon clears proteins from DNA to promote genotoxic stress resistance. Purified Lon binds DNA and degrades neighboring bound proteins, while a fully active DNA-blind Lon variant does not. This variant can degrade substrates as normal during unstressed growth, complements pleotropic phenotypes of {Delta}lon, including proteotoxic resilience, but remains sensitive to genotoxic stresses and fails to degrade proteins efficiently during DNA damage. Transposon sequencing reveals that {Delta}lon is vulnerable to loss of protein-DNA eviction factors and we use dynamic nucleoid occupancy profiling to show that chromosome-wide protein turnover relies on Lon DNA binding. Finally, disrupting Lon binding to mitochondria genomes also results in genotoxic stress sensitivity, consistent with the bacterial ancestry of this organelle. We propose that clearance of persistent proteins from DNA by Lon originated in free-living -proteobacteria and maintained during the evolution of mitochondria.

SummaryDNA binding by the Lon protease protects against genotoxic damage in a manner preserved from bacteria to mitochondria.",NA,NA,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
Single-cell Landscape Analysis of the Human Circulating B Cell Pool under Selective Pressure of Allogeneic Stem Cell Transplantation,"Poe, J. C.; Fang, J.; Zhang, D.; Lee, M. R.; DiCioccio, R. A.; Su, H.; Qin, X.; Zhang, J.; Visentin, J.; Bracken, S. J.; Ho, V. T.; Wang, K. S.; Rose, J. J.; Pavletic, S. Z.; Hakim, F. T.; Jia, W.; Suthers, A. N.; Curry-Chisolm, I.; Horwitz, M. E.; Rizzieri, D. A.; McManigle, W.; Chao, N. J.; Cardones, A. R.; Xie, J.; Owzar, K.; Sarantopoulos, S.",Stefanie Sarantopoulos,Duke University Medical Center,10.1101/2022.10.13.512162,2022-12-27,3,new results,cc_by_nc_nd,immunology,https://www.biorxiv.org/content/early/2022/12/27/2022.10.13.512162.source.xml,"Alloreactivity can drive autoimmune syndromes. After allogeneic hematopoietic stem cell transplantation (allo-HCT) chronic graft-versus-host disease (cGVHD), a B cell-mediated autoimmune-like syndrome, commonly occurs. Because donor-derived B cells continually develop under selective pressure from host alloantigens, aberrant B Cell Receptor (BCR)-activation and IgG production can emerge and contribute to cGVHD pathobiology. To better understand molecular programing of B cells under selective pressure of alloantigens, we performed scRNA-Seq analysis on high numbers of purified B cells from allo-HCT patients. An unsupervised analysis revealed 10 clusters, distinguishable by signature genes for maturation, activation and memory. We found striking transcriptional differences in the  memory B cell compartment after allo-HCT compared to healthy or infected individuals. To identify intrinsic properties when B-cell tolerance is lost after allo-HCT, we then assessed clusters for differentially expressed genes (DEGs) between patients with vs. without autoimmune-like manifestations (Active cGVHD vs. No cGVHD, respectively). DEGs were found in Active cGVHD in both naive and BCR-activated clusters, suggesting functional diversity. Some DEGs were also differentially expressed across most clusters, suggesting common molecular programs that may promote B cell  plasticity. Our study of human allo-HCT and cGVHD provides new understanding of B-cell  memory in the face of chronic alloantigen stimulation.

One Sentence SummaryOur scRNA-Seq study of purified B cells after allo-HCT clarifies molecular differences in human B cell subsets when immune tolerance is lost or maintained.

Graphical Abstract

O_FIG O_LINKSMALLFIG WIDTH=200 HEIGHT=80 SRC=""FIGDIR/small/512162v4_ufig1.gif"" ALT=""Figure 1"">
View larger version (29K):
org.highwire.dtl.DTLVardef@5c452eorg.highwire.dtl.DTLVardef@1c1d34borg.highwire.dtl.DTLVardef@171310org.highwire.dtl.DTLVardef@e4bf15_HPS_FORMAT_FIGEXP  M_FIG C_FIG The circulating human B cell compartment under the selective pressure of allogeneic hematopoietic stem cell transplantation (Allo-HCT) has an intrinsically altered memory B cell pool. In allo-HCT, genetically disparate donor stem and progenitor cells engraft, regenerating a new peripheral B cell compartment in the host. During ongoing B lymphopoiesis and diversification, selective pressure from alloantigens and other extrinsic factors, including B Cell Activating Factor (BAFF), result in either B cell maturation and immune tolerance (No Chronic GVHD) or altered B cell homeostasis and autoimmune manifestations (Active Chronic GVHD). B cells within defined subsets in patients with Active GVHD have distinct intrinsic programs delineated by differentially expressed genes (DEGs). Some DEGs occur across nearly all B cell subsets ( Differentially Expressed Broadly), while other DEGs are more restricted within only one or a few B cell subsets ( Naive,  BCR-activated, or  Memory). We affirm altered trajectories for diversification (blue arrow) and enrichment of an atypical memory B cell (ABC) pool, with intrinsic differences when chronic GVHD occurs.",NA,10.1172/jci.insight.169732,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
Widespread regulatory specificities between transcriptional corepressors and enhancers in Drosophila,"Jacobs, J.; Pagani, M.; Wenzl, C.; Stark, A.",Jelle Jacobs,"Research Institute of Molecular Pathology (IMP), Vienna BioCenter (VBC)",10.1101/2022.11.07.515017,2022-12-27,2,new results,cc_by_nc_nd,molecular biology,https://www.biorxiv.org/content/early/2022/12/27/2022.11.07.515017.source.xml,"Animal development and homeostasis critically depend on the accurate regulation of gene transcription, which includes the silencing of genes that should not be expressed. Repression is mediated by a specific class of transcription factors (TFs) termed repressors that, via the recruitment of co-repressors (CoRs), can dominantly prevent transcription, even in the presence of activating cues. However, the relationship between specific CoRs and enhancers has remained unclear. Here, we used functional genomics to uncover regulatory specificities between CoRs and enhancers. We show that enhancers can typically be repressed by only a subset of CoRs. Enhancers classified by CoR sensitivity also show distinct biological functions and endogenous chromatin features. Moreover, enhancers that are sensitive or resistant to silencing by specific CoRs differ in TF motif content, and their sensitivity to CoRs can be predicted based on TF motif content. Finally, we identified and validated specific TF motifs that have a direct impact on enhancers sensitivity or resistance towards specific CoRs, using large scale motif mutagenesis and addition experiments.

This study reveals the existence of TF motif-based regulatory rules that coordinate CoRs-enhancer compatibilities. These specificities between repressors and activators not only suggest that repression occurs via distinct mechanisms, but also provide an additional layer in transcriptional regulation that allows for differential repression at close genomic distances and offers multiple ways for de-repression.",NA,NA,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
TranceptEVE: Combining Family-specific and Family-agnostic Models of Protein Sequences for Improved Fitness Prediction,"Notin, P. M.; Van Niekerk, L.; Kollasch, A. W.; Ritter, D.; Gal, Y.; Marks, D.",Pascal M Notin,University of Oxford,10.1101/2022.12.07.519495,2022-12-27,2,new results,cc_by_nc_nd,genetics,https://www.biorxiv.org/content/early/2022/12/27/2022.12.07.519495.source.xml,"Modeling the fitness landscape of protein sequences has historically relied on training models on family-specific sets of homologous sequences called Multiple Sequence Alignments. Many proteins are however difficult to align or have shallow alignments which limits the potential scope of alignment-based methods. Not subject to these limitations, large protein language models trained on non-aligned sequences across protein families have achieved increasingly high predictive performance - but have not yet fully bridged the gap with their alignment-based counterparts. In this work, we introduce TranceptEVE - a hybrid method between family-specific and family-agnostic models that seeks to build on the relative strengths from each approach. Our method gracefully adapts to the depth of the alignment, fully relying on its autoregressive transformer when dealing with shallow alignments and leaning more heavily on the family-specific models for proteins with deeper alignments. Besides its broader application scope, it achieves state-of-the-art performance for mutation effects prediction, both in terms of correlation with experimental assays and with clinical annotations from ClinVar.",NA,NA,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
ESCRT recruitment to mRNA-encoded SARS-CoV-2 spike induces virus-like particles and enhanced antibody responses,"Hoffmann, M. A.; Yang, Z.; Huey-Tubman, K. E.; Cohen, A. A.; Gnanapragasam, P. N.; Nakatomi, L. M.; Storm, K. N.; Moon, W. J.; Lin, P. J.; Bjorkman, P. J.",Magnus AG Hoffmann,California Institute of Technology,10.1101/2022.12.26.521940,2022-12-27,1,new results,cc_by_nc_nd,immunology,https://www.biorxiv.org/content/early/2022/12/27/2022.12.26.521940.source.xml,"Prime-boost regimens for COVID-19 vaccines elicit poor antibody responses against Omicron-based variants and employ frequent boosters to maintain antibody levels. We present a natural infection-mimicking technology that combines features of mRNA- and protein nanoparticle-based vaccines through encoding self-assembling enveloped virus-like particles (eVLPs). eVLP assembly is achieved by inserting an ESCRT- and ALIX-binding region (EABR) into the SARS-CoV-2 spike cytoplasmic tail, which recruits ESCRT proteins to induce eVLP budding from cells. Purified spike-EABR eVLPs presented densely-arrayed spikes and elicited potent antibody responses in mice. Two immunizations with mRNA-LNP encoding spike-EABR elicited potent CD8+ T-cell responses and superior neutralizing antibody responses against original and variant SARS-CoV-2 compared to conventional spike-encoding mRNA-LNP and purified spike-EABR eVLPs, improving neutralizing titers >10-fold against Omicron-based variants for three months post-boost. Thus, EABR technology enhances potency and breadth of vaccine-induced responses through antigen presentation on cell surfaces and eVLPs, enabling longer-lasting protection against SARS-CoV-2 and other viruses.",NA,NA,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
An alpaca-derived nanobody neutralizes the SARS-CoV-2 omicron variant,"Modhiran, N.; Lauer, S. M.; Amarilla, A. A.; Hewins, P.; van den Broek, S. I. L.; Low, Y. S.; Thakur, N.; Liang, B.; Nieto, G. V.; Jung, J.; Paramitha, D.; Isaacs, A.; de Sng, J.; Song, D.; Jorgensen, J.; Cheuquemilla, Y.; Burger, J.; Andersen, I. V.; Himelreichs, J.; Jara, R.; MacLoughlin, R.; Miranda-Chacon, Z.; Chana-Cuevas, P.; Kramer, V.; Spahn, C. M. T.; Mielke, T.; Khromykh, A. A.; Munro, T.; Jones, M.; Young, P. R.; Chappell, K.; Bailey, D.; Kjaer, A.; Herth, M. M.; Jurado, K. A.; Schwefel, D.; Rojas-Fernandez, A.; Watterson, D.",Daniel Watterson,"School of Chemistry and Molecular Bioscience, the University of Queensland; Brisbane, Australia. Australian Institute for Bioengineering and Nanotechnology; Bri",10.1101/2022.12.27.521990,2022-12-27,1,new results,cc_by_nc_nd,microbiology,https://www.biorxiv.org/content/early/2022/12/27/2022.12.27.521990.source.xml,"The SARS-CoV2 Omicron variant sub-lineages spread rapidly through the world, mostly due to their immune-evasive properties. This has put a significant part of the population at risk for severe disease and underscores the need for anti-SARS-CoV-2 agents that are effective against emergent strains in vulnerable patients. Camelid nanobodies are attractive therapeutic candidates due to their high stability, ease of large-scale production and potential for delivery via inhalation. Here, we characterize the RBD-specific nanobody W25, which we previously isolated from an alpaca, and show superior neutralization activity towards Omicron lineage BA.1 in comparison to all other SARS-CoV2 variants. Structure analysis of W25 in complex with the SARS-CoV2 spike surface glycoprotein shows that W25 engages an RBD epitope not covered by any of the antibodies previously approved for emergency use. Furthermore, we show that W25 also binds the spike protein from the emerging, more infectious Omicron BA.2 lineage with picomolar affinity. In vivo evaluation of W25 prophylactic and therapeutic treatments across multiple SARS-CoV-2 variant infection models, together with W25 biodistribution analysis in mice, demonstrates favorable pre-clinical properties. Together, these data endorse prioritization of W25 for further clinical development.",NA,NA,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
Tissue protective role of Ganetespib in SARS-CoV-2-infected Syrian golden hamsters,"Teixeira Alves, L. G.; Baumgardt, M.; Hoppe, J.; Firsching, T. C.; Adler, J. M.; Mastrobuoni, G.; Grobe, J.; Hoenzke, K.; Kempa, S.; Gruber, A. D.; Hocke, A. C.; Trimpert, J.; Wyler, E.; Landthaler, M.",Markus Landthaler,Max-Delbrueck Center for Molecular Medicine,10.1101/2022.12.27.521979,2022-12-27,1,new results,cc_by_nc_nd,microbiology,https://www.biorxiv.org/content/early/2022/12/27/2022.12.27.521979.source.xml,"The emergence of new SARS-CoV-2 variants, capable of escaping the humoral immunity acquired by the available vaccines, together with waning immunity and vaccine hesitancy, challenges the efficacy of the vaccination strategy in fighting COVID-19. Improved therapeutic strategies are therefore urgently needed to better intervene particularly in severe cases of the disease. They should aim at controlling the hyper-inflammatory state generated upon infection, at reducing lung tissue pathology and endothelial damages, along with viral replication. Previous research has pointed a possible role for the chaperone HSP90 in SARS-CoV-2 replication and COVID-19 pathogenesis. Pharmacological intervention through HSP90 inhibitors was shown to be beneficial in the treatment of inflammatory diseases, infections and reducing replication of diverse viruses. In this study, we analyzed the effects of the potent HSP90 inhibitor Ganetespib in vitro on alveolar epithelial cells and alveolar macrophages to characterize its effects on cell activation and viral replication. Additionally, to evaluate its efficacy in controlling systemic inflammation and the viral burden after infection in vivo, a Syrian hamster model was used. In vitro, Ganetespib reduced viral replication on AECs in a dose-dependent manner and lowered significantly the expression of pro-inflammatory genes, in both AECs and alveolar macrophages. In vivo, administration of Ganetespib led to an overall improvement of the clinical condition of infected animals, with decreased systemic inflammation, reduced edema formation and lung tissue pathology. Altogether, we show that Ganetespib could be a potential medicine to treat moderate and severe cases of COVID-19.",NA,NA,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
Virological characteristics of the SARS-CoV-2 XBB variant derived from recombination of two Omicron subvariants,"Tamura, T.; Ito, J.; Uriu, K.; Zahradnik, J.; Kida, I.; Nasser, H.; Shofa, M.; Oda, Y.; Lytras, S.; Nao, N.; Itakura, Y.; Deguchi, S.; Suzuki, R.; Wang, L.; Begum, M. M.; Tsuda, M.; Kosugi, Y.; Fujita, S.; Yoshimatsu, K.; Suzuki, S.; Asakura, H.; Nagashima, M.; Sadamasu, K.; Yoshimura, K.; Yamamoto, Y.; Nagamoto, T.; Schreiber, G.; The Genotype to Phenotype Japan (G2P-Japan) Consortium,  ; Ikeda, T.; Fukuhara, T.; Saito, A.; Tanaka, S.; Matsuno, K.; Takayama, K.; Sato, K.",Kei Sato,"Institute of Medical Science, The University of Tokyo",10.1101/2022.12.27.521986,2022-12-27,1,new results,cc_by_nc_nd,microbiology,https://www.biorxiv.org/content/early/2022/12/27/2022.12.27.521986.source.xml,"In late 2022, the SARS-CoV-2 Omicron subvariants have highly diversified, and XBB is spreading rapidly around the world. Our phylogenetic analyses suggested that XBB emerged by recombination of two co-circulating BA.2 lineages, BJ.1 and BM.1.1.1 (a progeny of BA.2.75), during the summer of 2022 around India. In vitro experiments revealed that XBB is the most profoundly resistant variant to BA.2/5 breakthrough infection sera ever and is more fusogenic than BA.2.75. Notably, the recombination breakpoint is located in the receptor-binding domain of spike, and each region of recombined spike conferred immune evasion and augmented fusogenicity to the XBB spike. Finally, the intrinsic pathogenicity of XBB in hamsters is comparable to or even lower than that of BA.2.75. Our multiscale investigation provided evidence suggesting that XBB is the first documented SARS-CoV-2 variant increasing its fitness through recombination rather than single mutations.",NA,NA,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
"Comparative genomics and integrated system biology approach unveiled undirected phylogeny patterns, mutational hot spots, functional patterns and molecule repurposing for monkey pox virus","GUPTA, V.; Singhvi, N.; Kaur, J.; Tyagi, I.; Talwar, C.; Mondal, K.; Ahmad, N.; Sharma, G.; Mahanta, U.",VIPIN GUPTA,"Ministry of Environment, Forest and Climate Change, Integrated Regional Office, Dehradun, 248001, India",10.1101/2022.12.21.521441,2022-12-27,1,new results,cc_no,genomics,https://www.biorxiv.org/content/early/2022/12/27/2022.12.21.521441.source.xml,"Monkeypox is a viral zoonosis with symptoms that are reminiscent to those experienced in previous smallpox cases. GSAID databases (Global Initiative on Sharing Avian Influenza Data) was used to assess 630 genomes of MPXV. Six primary clades were inferred from the phylogenetic study, coupled with a lesser percentage in radiating clades. Individual clades that make up various nationalities may have formed as a result of a particular SNP hotspot type, which may have mutated in a particular population type.

The most significant mutation, based on a mutational hotspot analysis, was found at G3729A and G5143A. The gene ORF138, which encodes the Ankyrin repeat (ANK) protein, was found to have the most mutations. This protein is known to mediate molecular recognition via protein-protein interactions. It was shown that 243 host proteins interacted with 10 monkeypox proteins identified as the hub proteins E3, SPI2, C5, K7, E8, G6, N2, B14, CRMB, and A41 through 262 direct connections. The interaction with chemokine system-related proteins provides further evidence that the human protein is being suppressed by the monkey pox virus in order to facilitate its survival against innate immunity.

A few FDA-approved molecules were likely used as possible inhibitors after being researched for blocking F13, a significant envelope protein on the membrane of extracellular versions of virus. A total of 2500 putative ligands were docked individually with the F13 protein. The F13 protein and these molecules interaction may help prevent the monkey pox virus from spreading. As a result, after being confirmed by experiments, these putative inhibitors might have an impact on the activity of these proteins and be utilised in monkeypox treatments.",NA,NA,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
Evaluation of the molecular diversity of Brazilian strains of the B.1.1 variant of SARS-CoV-2 used in vaccines,"do Nascimento, I. A.; da Silva, L. S.; Santos, A. C. d. S.; Felix, P. T.",Pierre Teodosio Felix,"Laboratory of Population Genetics and Computational Evolutionary Biology - LaBECom, UNIVISA, Vitoria de Santo Antao, Pernambuco, Brazil",10.1101/2022.12.23.521847,2022-12-27,1,new results,cc_by_nc,bioinformatics,https://www.biorxiv.org/content/early/2022/12/27/2022.12.23.521847.source.xml,"In this work, 28 sequences with 57,570 sites of the B.1.1 variant of SARS-CoV-2, from Brazilian states, were used. All sequences (publicly available on the National Center for Biotechnology Information platform (NCBI)) were aligned with Mega X software and all gaps, ambiguous sites and lost data were extracted, resulting in a region in a segment with 8,799 polymorphic (15.2% of the total) that were analyzed for their molecular diversity, FST, demographic and spatial expansion. Phylogenetic relationships of ancestry revealed the absence of genetically distinct subgroups, which was corroborated by the low value of FST found (15.38%). The low degree of polymorphism found among these samples, corroborated by the almost non-existent genetic distance, helped or established the absence of a genetic structuring pattern, demonstrating a satisfactory pattern of response to vaccines, since all the sequences analyzed were part of the Brazilian strains of variant B.1.1 of SARS-CoV-2 used in vaccines.",NA,NA,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
Techniques for Developing Reliable Machine Learning Classifiers Applied to Understanding and Predicting Protein:Protein Interaction Hot Spots,"Chen, J.; Kuhn, L. A.; Raschka, S.",Leslie A. Kuhn,Michigan State University,10.1101/2022.12.26.521948,2022-12-27,1,new results,cc_no,molecular biology,https://www.biorxiv.org/content/early/2022/12/27/2022.12.26.521948.source.xml,"With machine learning now transforming the sciences, successful prediction of biological structure or activity is mainly limited by the extent and quality of data available for training, the astute choice of features for prediction, and thorough assessment of the robustness of prediction on a variety of new cases. Here we address these issues while developing and sharing protocols to build a robust dataset and rigorously compare several predictive classifiers using the opensource Python machine learning library, scikit-learn. We show how to evaluate whether enough data has been used for training and whether the classifier has been overfit to training data. The most telling experiment is 500-fold repartitioning of the training and test sets, followed by prediction, which gives a good indication of whether a classifier performs consistently well on different datasets. An intuitive method is used to quantify which features are most important for correct prediction.

The resulting well-trained classifier, hotspotter, can robustly predict the small subset of amino acid residues on the surface of a protein that are energetically most important for binding a protein partner: the interaction hot spots. Hotspotter has been trained and tested here on a curated dataset assembled from 1,046 non-redundant alanine scanning mutation sites with experimentally measured change in binding free energy values from 97 different protein complexes; this dataset is available to download. The accessible surface area of the wild-type residue at a given site and its degree of evolutionary conservation proved the most important features to identify hot spots. A variant classifier was trained and validated for proteins where only the amino acid sequence is available, augmented by secondary structure assignment. This version of hotspotter requiring fewer features is almost as robust as the structure-based classifier. Application to the ACE2 receptor, which mediates COVID-19 virus entry into human cells, identified the critical hot spot triad of ACE2 residues at the center of the small interface with the CoV-2 spike protein. Hotspotter results can be used to guide the strategic design of protein interfaces and ligands and also to identify likely interfacial residues for protein:protein docking.",NA,NA,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
Biocontainment strategies for in vivo applications of Saccharomyces boulardii,"Hedin, K. A.; Kruse, V.; Vazquez-Uribe, R.; Sommer, M. O. A.",Morten Otto Alexander Sommer,"Novo Nordisk Foundation Center for Biosustainability, Technical University of Denmark, 2800, Kgs. Lyngby, Denmark",10.1101/2022.12.27.522029,2022-12-27,1,new results,cc_by_nd,synthetic biology,https://www.biorxiv.org/content/early/2022/12/27/2022.12.27.522029.source.xml,"The human gastrointestinal tract is a complex and dynamic environment, playing a crucial role in human health. Microorganisms engineered to express a therapeutic activity have emerged as a novel modality to manage numerous diseases. Such advanced microbiome therapeutics (AMTs) must be contained within the treated individual. Hence safe and robust biocontainment strategies are required to prevent the proliferation of microbes outside the treated individual. Here we present the first biocontainment strategy for a probiotic yeast, demonstrating a multilayered strategy combining an auxotrophic and environmental-sensitive strategy. We knocked out the genes THI6 and BTS1, causing thiamine auxotrophy and increased sensitivity to cold, respectively. The biocontained Saccharomyces boulardii was unable to grow in the absence of thiamine above 1 ng/mL and exhibited a severe growth defect at temperatures below 20{degrees}C. The biocontained strain was well tolerated and viable in mice and demonstrated equal efficiency in peptide production as the ancestral non-biocontained strain. In combination, the data support that thi6{Delta} and bts1{Delta} enable biocontainment of S. boulardii, which could be a relevant chassis for future yeast-based AMTs.",NA,NA,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
Exceptionally versatile respiratory metabolisms drive metabolite production by diverse gut bacteria,"Little, A. S.; Younker, I. T.; Schechter, M. S.; Meheust, R.; Stemczynski, J.; Scorza, K.; Nol Bernardino, P.; Mullowney, M. W.; Sharan, D.; Waligurski, E.; Smith, R.; Ramanswamy, R.; Leiter, W.; Moran, D.; McMillin, M.; Odenwald, M. A.; Iavarone, A. T.; Sidebottom, A. M.; Sundararajan, A.; Pamer, E. G.; Eren, A. M.; Light, S. H.",Samuel H Light,University of Chicago,10.1101/2022.12.26.521950,2022-12-27,1,new results,cc_by_nc,microbiology,https://www.biorxiv.org/content/early/2022/12/27/2022.12.26.521950.source.xml,"Respiratory reductases enable microbes to utilize molecules present in anaerobic ecosystems as energy-generating respiratory electron acceptors. Here we identify three taxonomically distinct families of human gut bacteria (Burkholderiaceae, Eggerthellaceae, Erysipelotrichaceae) that encode large arsenals of tens-to-hundreds of respiratory-like reductases per genome. Screening species from each family (Sutterella wadsworthensis, Eggerthella lenta, and Holdemania filiformis), we discover 22 metabolites used as respiratory electron acceptors in a species-specific manner. Identified reactions transform multiple classes of dietary- and host-derived metabolites, including bioactive molecules resveratrol and itaconate. Products of identified respiratory metabolisms highlight poorly characterized compounds, such as the itaconate-derived 2-methylsuccinate. Reductase substrate-profiling defines enzyme-substrate pairs and reveals a complex picture of reductase evolution, providing evidence that reductases with specificities for related cinnamate substrates independently emerged at least four times. These studies thus establish an exceptionally versatile form of anaerobic respiration that directly links microbial energy metabolism to the gut metabolome.",NA,10.1038/s41564-023-01560-2,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
Spatial and functional arrangement of Ebola virus polymerase inside phase-separated viral factories,"Fang, J.; Castillon, G.; Phan, S.; McArdle, S.; Hariharan, C.; Ellisman, M. H.; Deniz, A. A.; Saphire, E. O.",Erica Ollmann Saphire,La Jolla Institute for Immunology,10.1101/2022.12.27.522024,2022-12-27,1,new results,cc_by_nc_nd,microbiology,https://www.biorxiv.org/content/early/2022/12/27/2022.12.27.522024.source.xml,"Ebola virus (EBOV) infection induces the formation of membrane-less, cytoplasmic compartments termed viral factories, in which multiple viral proteins gather and coordinate viral transcription, replication and assembly. Key to viral factory function is the recruitment of EBOV polymerase, a multifunctional machine that mediates transcription and replication of the viral RNA genome. We show that intracellularly reconstituted EBOV viral factories are biomolecular condensates, with composition-dependent internal exchange dynamics that likely facilitates viral replication. Within the viral factory, we found the EBOV polymerase clusters into foci. The distance between these foci increases when viral replication is enabled. In addition to the typical droplet-like viral factories, we report the formation of network-like viral factories during EBOV infection. Unlike droplet-like viral factories, network-like factories are inactive for EBOV nucleocapsid assembly. This unique view of EBOV propagation suggests a form-to-function relationship that describes how physical properties and internal structures of biomolecular condensates influence viral biogenesis.",NA,10.1038/s41467-023-39821-7,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
RecQ1 helicase unwinds G-Quadruplexes at oriLyt to facilitate KSHV Lytic DNA Replication,"Dabral, P.; Uppal, T.; Verma, S. C.",Subhash C Verma,"University of Nevada, Reno",10.1101/2022.12.26.521964,2022-12-27,1,new results,cc_by_nc_nd,microbiology,https://www.biorxiv.org/content/early/2022/12/27/2022.12.26.521964.source.xml,"KSHV utilizes distinct origins of DNA replication (origin of replications) during the latent and lytic phases of its life cycle. Lytic DNA replication requires the participation of cellular and viral proteins to initiate replication at a specific region in the KSHV genome, oriLyt. These regions contain multiple secondary structures and binding sites for the viral and cellular proteins. We discovered the presence of G-quadruplex (G4s) sites in the oriLyt region. G-quadruplexes are secondary structures in nucleic acid sequences that are considered regulators of multiple biological processes, such as transcription, translation, and replication initiation. Importantly, herpesviruses have a high density of PQS (putative quadruplex formation sites) in their genome, including in the regulatory regions, which control replication and transcription. The binding of RecQ1 to the oriLyt region of KSHV and its ability to unwind the G4 structures led us to speculate that G-quadruplex sites play an important role in lytic DNA replication. In this study, we confirmed the formation of stable G-quadruplexes through biochemical and biophysical assays. We further demonstrated that RecQ1 associates with the G4 sites of the oriLyt. The functional significance of RecQ1-mediated unwinding of G4 sites was confirmed by the inhibition and depletion of RecQ1 activity and protein levels through a pharmacologic inhibitor and short-hairpin, respectively. Furthermore, the detection of replication initiation through single-molecule analysis of the replicated DNA (SMARD) approach demonstrated that G4 stabilization leads to a subdued initiation of replication at the oriLyt. This confirmed the role of the G-quadruplex in regulating viral DNA replication, which can be used for controlling virus growth.

SignificanceBiological processes originating from the DNA and RNA can be regulated by the secondary structures present in the stretch of nucleic acids, and the G-quadruplexes are shown to regulate transcription, translation, and replication. In this study, we identified the presence of multiple G-quadruplex sites in the region (oriLyt) of KSHV DNA, which is essential for the replication of DNA during the lytic cycle. We demonstrated the roles of these G-quadruplexes through multiple biochemical and biophysical assays in controlling replication and efficient virus production. We demonstrated that KSHV achieves this by recruiting RecQ1 (helicase) at these G-quadruplex sites for efficient viral DNA replication. Analysis of the replicated DNA through nucleoside labeling and immunostaining showed a reduced initiation of DNA replication in cells with a pharmacologic stabilizer of G-quadruplexes. Overall, this study confirmed the role of the G-quadruplex in regulating viral DNA replication, which can be exploited for controlling viral DNA replication.",NA,NA,bioRxiv,biorxiv,biorxiv,0cef176399b6a1e2,biorxiv_2022-12-27_2023-01-25
